ip,port,anonymityLevel,asn,country,isp,latency,org,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"45.12.31.140","80","elite","AS209242","GB","Cloudflare London, LLC","11","LIR Services","socks4","1613","3","2023-10-15T17:17:44.343Z","100","4334","4334"
"183.89.180.128","8080","elite","AS45629","TH","Triple T Broadband Public Company Limited","194","Triple T Broadband Public Company Limited","socks4","226","3","2023-10-15T17:33:26.854Z","93","3928","4207"
"45.112.125.55","4145","elite","AS58369","ID","FIBERNET","164","N/A","socks4","4996","3","2023-10-15T18:26:52.533Z","99","4370","4412"
"103.90.231.93","40797","elite","AS150698","VN","ONETIDC","282","Onet IDC Company","socks5","5192","3","2023-10-15T17:16:17.651Z","98","4336","4410"
"185.203.243.160","24522","elite","AS204601","NL","Zomro B.V.","11","Zomro B.V","socks4","5014","3","2023-10-15T17:14:26.132Z","100","4256","4260"
"182.93.69.74","5678","elite","AS4007","NP","Subisu Cablenet","188","N/A","socks4","1106","3","2023-10-15T17:42:47.353Z","98","4336","4431"
"185.46.10.13","1080","elite","AS197695","RU","\"Domain names registrar REG.RU\", Ltd","50","Reg.Ru AG","socks5","5098","3","2023-10-15T18:11:31.284Z","100","4253","4255"
"111.118.135.132","33260","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","190","Viettel (cambodia) Pte., Ltd.","socks4","4996","3","2023-10-15T17:11:59.282Z","50","2141","4313"
"46.209.22.250","3629","elite","AS42337","IR","Respina","99","N/A","socks4","4593","3","2023-10-15T18:32:36.749Z","99","4204","4256"
"193.233.148.216","5678","elite","AS205628","RU","OOO MIG-Service Centre","81","MIG-Service Centre Ltd","socks4","4896","3","2023-10-15T18:09:30.879Z","98","4325","4402"
"146.88.203.171","5678","elite","AS58424","KH","Xinwei (Cambodia) Telecom Co. Ltd","295","XINWEITELECOM","socks4","4993","3","2023-10-15T17:03:23.436Z","91","3992","4394"
"45.112.125.53","4145","elite","AS58369","ID","FIBERNET","164","N/A","socks4","5095","3","2023-10-15T18:48:39.682Z","99","4263","4310"
"129.21.30.116","3128","elite","AS4385","US","Rochester Institute of Technology","80","Rochester Institute of Technology","socks4","4995","3","2023-10-15T18:06:54.333Z","99","4209","4247"
"178.154.228.16","9050","elite","AS200350","RU","Yandex Cloud","48","N/A","socks5","5193","3","2023-10-15T17:56:27.349Z","100","4366","4368"
"197.234.13.19","4145","elite","AS36902","SC","Intelvision","302","Intelvision Ltd","socks4","1797","3","2023-10-15T18:38:57.834Z","100","4378","4391"
"181.65.121.34","8080","elite","AS6147","PE","TDP-GRS","192","PE-TDP-GRS","socks4","4005","3","2023-10-15T18:41:19.135Z","100","4298","4307"
"128.199.131.98","18182","elite","AS14061","SG","DigitalOcean, LLC","167","DigitalOcean, LLC","socks5","4800","3","2023-10-15T18:19:33.134Z","100","4284","4286"
"188.214.129.3","4048","elite","AS16125","LT","UAB Cherry Servers","40","N/A","socks5","1995","3","2023-10-15T18:45:14.750Z","84","3601","4266"
"111.91.231.65","4153","elite","AS38571","IN","Star Broadband Services","161","SBS","socks4","5190","3","2023-10-15T17:36:42.149Z","99","4274","4296"
"200.140.83.108","6588","elite","AS8167","BR","V tal","261","Brasil Telecom Comunicacao Multimidia S.A","socks5","5097","3","2023-10-15T17:44:43.888Z","99","4281","4306"
"202.124.33.165","5678","elite","AS133200","KH","NeocomISP Limited","197","NeocomISP Limited","socks4","3692","3","2023-10-15T18:48:43.148Z","99","4221","4264"
"178.62.223.104","80","elite","AS14061","NL","DigitalOcean, LLC","88","Digital Ocean","socks4","5006","2","2023-10-15T18:36:46.035Z","100","4329","4330"
"203.34.28.148","80","elite","AS209242","VG","Cloudflare London, LLC","89","Anaga Consulting Limited","socks4","5096","2","2023-10-15T17:28:15.452Z","100","4321","4322"
"118.218.126.54","9400","elite","AS9318","KR","SK Broadband Co Ltd","285","broadNnet","socks4","4990","2","2023-10-15T18:13:31.789Z","100","4320","4325"
"137.220.53.12","10544","elite","AS20473","CA","The Constant Company","97","Vultr Holdings, LLC","socks4","2612","2","2023-10-15T18:46:14.337Z","81","3502","4331"
"116.109.68.216","1080","elite","AS7552","VN","Viettel Corporation","381","Viettel Group","socks4","5186","2","2023-10-15T18:34:32.235Z","89","3745","4220"
"41.223.233.94","3629","elite","AS37008","BF","Alink Telecom Faso v","182","N/A","socks4","5299","2","2023-10-15T17:45:13.435Z","86","3680","4298"
"147.182.203.142","12345","elite","AS14061","US","DigitalOcean, LLC","191","DigitalOcean, LLC","socks5","4717","2","2023-10-15T18:48:54.548Z","97","4235","4348"
"5.252.179.222","32109","elite","AS39798","RU","MivoCloud Russia","110","MivoCloud SRL","socks5","4708","2","2023-10-15T18:00:57.636Z","100","4242","4259"
