"mark","model","mileage","transmission","registration","fuel","power","location","price"
Audi,A4,"60469",Automatic,"10/2020",Gasoline,"150",BE,26950
Mercedes-Benz,CLK 220,"199224",Manual,"12/2006",Diesel,"150",BE,5990
Mercedes-Benz,GLC 250,"147000",Automatic,"11/2016",Diesel,"204",DE,27480
Alfa-Romeo,Giulia,"10150",Automatic,"10/2022",Gasoline,"510",BE,74995
Mercedes-Benz,CLA 220,"55418",Automatic,"04/2019",Gasoline,"190",DE,35870
Audi,TT,"121209",Manual,"02/2011",Diesel,"170",BE,14990
Porsche,"992","6866",Automatic,"10/2022",Gasoline,"480",DE,164950
BMW,"740","129000",Automatic,"12/2017",Electric,"329",BE,37900
Mercedes-Benz,A 180,"97471",Manual,"12/2013",Gasoline,"122",BE,12895
Mercedes-Benz,C 220,"6000",Automatic,"03/2023",Diesel,"200",DE,65900
Mercedes-Benz,V 300,"53000",Automatic,"05/2021",Diesel,"239",BE,77900
Audi,Q5,"216821",Manual,"07/2012",Diesel,"143",BE,12950
Audi,A7,"96000",Automatic,"02/2016",Diesel,"326",DE,33999
Mercedes-Benz,E 300,"49987",Automatic,"10/2019",Diesel,"245",DE,40980
Cupra,Formentor VZ5,"5000",Automatic,"11/2022",Gasoline,"390",DE,57290
Mercedes-Benz,GLE 500,"64000",Automatic,"08/2018",Gasoline,"455",DE,49900
Porsche,"992","935",Automatic,"02/2022",Gasoline,"510",DE,229992
Mercedes-Benz,S 580,"141",Automatic,"03/2022",Gasoline,"503",DE,199900
Mercedes-Benz,AMG GT,"30787",Automatic,"06/2019",Gasoline,"639",DE,128685
Mercedes-Benz,CLA 45 AMG,"44697",Automatic,"03/2022",Gasoline,"387",DE,58779
Citroen,C-Elysée,"91919",Manual,"03/2017",Gasoline,"82",BE,6790
Mercedes-Benz,E 300,"84000",Automatic,"12/2017",Gasoline,"245",DE,30999
Mercedes-Benz,E 63 AMG,"55900",Automatic,"04/2018",Gasoline,"612",DE,79880
Peugeot,Expert,"278602",Manual,"05/2008",Diesel,"120",DE,6790
Volkswagen,Golf GTE,"25600",Automatic,"03/2021",Electric,"245",DE,23900
Mercedes-Benz,GLC 43 AMG,"93452",Automatic,"08/2018",Gasoline,"367",BE,49995
Mercedes-Benz,C 43 AMG,"47100",Automatic,"08/2020",Gasoline,"390",DE,53860
BMW,"118","144666",Manual,"07/2007",Gasoline,"143",DE,6998
Volkswagen,Crafter,"116050",Manual,"12/2018",Diesel,"140",DE,30928
Audi,RS Q8,"73654",Automatic,"07/2020",Gasoline,"600",DE,117980
Mercedes-Benz,"190","105584",Manual,"06/1985",Gasoline,"185",BE,39900
Mercedes-Benz,ML 250,"171000",Automatic,"03/2013",Diesel,"204",IT,17900
Mercedes-Benz,C 220,"84971",Automatic,"05/2018",Diesel,"170",BE,20950
Volkswagen,Tiguan,"140000",Manual,"08/2010",Diesel,"140",IT,8990
Volkswagen,Tiguan,"130890",Automatic,"02/2019",Diesel,"150",BE,23950
Land-Rover,Range Rover Sport,"99021",Automatic,"11/2018",Electric,"300",BE,56999
Porsche,Boxster,"189000",Manual,"01/2002",Gasoline,"220",AT,17490
Volkswagen,Tiguan,"130890",Automatic,"02/2019",Diesel,"150",BE,23950
Land-Rover,Range Rover Sport,"99021",Automatic,"11/2018",Electric,"300",BE,56999
Jaguar,XE,"36600",Automatic,"09/2019",Diesel,"179",DE,28550
Audi,A6,"220674",Automatic,"02/2018",Diesel,"136",BE,17950
Mercedes-Benz,"400","95501",Automatic,"08/2017",Gasoline,"333",DE,39710
BMW,"330","50905",Automatic,"04/2020",Gasoline,"258",DE,39680
Mercedes-Benz,V 250,"97700",Automatic,"07/2018",Diesel,"190",DE,48870
Lamborghini,Aventador,"13113",Automatic,"03/2013",Gasoline,"700",DE,359900
Mercedes-Benz,E 220,"181723",Automatic,"10/2012",Diesel,"170",DE,13900
Mercedes-Benz,E 220,"64715",Automatic,"12/2021",Diesel,"194",BE,43490
Toyota,Aygo,"36000",Manual,"10/2007",Gasoline,"68",IT,4900
BMW,M4,"1970",Automatic,"01/2023",Gasoline,"551",DE,194900
Mercedes-Benz,E 400,"124545",Automatic,"01/2019",Diesel,"340",DE,45998
Audi,Q7,"59414",Automatic,"08/2020",Diesel,"231",BE,63900
Volkswagen,Arteon,"42630",Automatic,"06/2020",Gasoline,"272",DE,34900
BMW,X1,"170000",Manual,"08/2017",Diesel,"116",BE,15950
Mercedes-Benz,GLE 450,"95842",Automatic,"11/2015",Gasoline,"367",BE,52750
Audi,S5,"39123",Automatic,"07/2020",Diesel,"347",DE,57760
Mercedes-Benz,GL 350,"286000",Automatic,"06/2014",Diesel,"258",DE,27950
Audi,S5,"253000",Automatic,"07/2010",Gasoline,"354",DE,11990
Volkswagen,Arteon,"42630",Automatic,"06/2020",Gasoline,"272",DE,34900
Mercedes-Benz,CLA 250,"84987",Automatic,"12/2017",Gasoline,"211",DE,24480
BMW,X1,"170000",Manual,"08/2017",Diesel,"116",BE,15950
